"registro","bridge5m","bridge20m","rasa5m","rasa20m","laje5m","laje20m"
"1351",23.665,17.701,19.674,15.939,22.011,16.82
"1352",23.04,17.748,19.817,16.225,19.936,17.796
"1353",22.489,17.225,19.984,15.485,20.698,18.557
"1354",21.819,16.915,20.103,16.296,20.603,18.913
"1355",22.681,17.058,19.865,16.225,21.318,19.199
"1356",22.226,17.534,19.936,16.392,21.7,18.913
"1357",22.298,18.129,20.126,15.986,21.509,18.771
"1358",22.896,18.176,20.246,16.368,21.819,18.604
"1359",22.824,18.604,20.507,15.986,21.772,18.604
"1360",22.824,18.675,20.579,15.724,21.843,19.032
"1361",23.689,18.652,20.484,16.534,21.795,19.103
